Champoin Type,Team A,Team B,Team A Score,Team B Score,Match Time,day
دوري القسم الثاني-أ,دكرنس,النجوم,3,2,14:30,01/02/2024
دوري القسم الثاني-أ,حرس الحدود,بروكسي,1,1,14:30,01/02/2024
دوري القسم الثاني-أ,المصرية للاتصالات,السكة الحديد,2,4,14:30,01/02/2024
دوري القسم الثاني-أ,القناة,راية الرياضي,0,0,14:30,01/02/2024
دوري القسم الثاني-أ,مكادي,وادي دجلة,0,0,14:30,01/03/2024
دوري القسم الثاني-أ,بترول أسيوط,مصر المقاصة,3,2,14:30,01/03/2024
دوري القسم الثاني-أ,لافيينا أف سي,أبو قير للاسمدة,0,0,14:30,01/03/2024
دوري القسم الثاني-أ,جمهورية شبين,بتروجت,0,1,14:30,01/03/2024
دوري القسم الثاني-أ,أسوان,طنطا‏,1,3,14:30,01/03/2024
دوري القسم الثاني-أ,غزل المحلة,النصر للتعدين,1,0,17:00,01/03/2024
مباريات ودية - منتخبات,مصر,هولندا,30,28,18:45,01/04/2024
مباريات ودية - منتخبات,قطر,الأردن,1,2,18:00,01/05/2024
مباريات ودية - منتخبات,العراق,كوريا الجنوبية,0,1,15:00,01/06/2024
مباريات ودية - منتخبات,البـــحرين,أستراليا,0,2,16:00,01/06/2024
مباريات ودية - منتخبات,موزمبيق,ليسوتو,2,0,16:00,01/06/2024
مباريات ودية - منتخبات,مصر,الدنمارك,31,34,17:00,01/06/2024
مباريات ودية - منتخبات,الإمارات,عمان,0,1,17:15,01/06/2024
مباريات ودية - منتخبات,كوت ديفوار,سيراليون,5,1,19:00,01/06/2024
مباريات ودية - منتخبات,تونس,موريتانيا,0,0,20:30,01/06/2024
مباريات ودية - منتخبات,مالي,غينيا بيساو,6,2,21:00,01/06/2024
مباريات ودية - منتخبات,مصر,النرويج,28,23,14:30,01/07/2024
مباريات ودية - منتخبات,مصر,تنزانيا,2,0,18:00,01/07/2024
دوري القسم الثاني-أ,النجوم,جمهورية شبين,1,1,14:00,01/08/2024
دوري القسم الثاني-أ,راية الرياضي,بترول أسيوط,1,1,14:30,01/08/2024
دوري القسم الثاني-أ,النصر للتعدين,المصرية للاتصالات,0,1,14:30,01/08/2024
دوري القسم الثاني-أ,مصر المقاصة,لافيينا أف سي,0,3,14:30,01/08/2024
مباريات ودية - منتخبات,غينيا,نيجيريا,2,0,15:00,01/08/2024
مباريات ودية - منتخبات,موزمبيق,بوتسوانا,1,1,16:45,01/08/2024
مباريات ودية - منتخبات,السنغال,النيجر,1,0,20:00,01/08/2024
مباريات ودية - منتخبات,غانـــا,ناميبيا,0,0,22:00,01/08/2024
دوري القسم الثاني-أ,طنطا‏,القناة,1,0,14:30,01/09/2024
دوري القسم الثاني-أ,بروكسي,غزل المحلة,2,2,14:30,01/09/2024
دوري القسم الثاني-أ,السكة الحديد,مكادي,1,1,14:30,01/09/2024
دوري القسم الثاني-أ,أبو قير للاسمدة,دكرنس,0,0,14:30,01/09/2024
مباريات ودية - منتخبات,اليــــابان,الأردن,6,1,13:00,01/09/2024
مباريات ودية - منتخبات,زامبيا,الكاميرون,1,1,15:00,01/09/2024
مباريات ودية - منتخبات,بوروندي,الجزائر,0,4,17:00,01/09/2024
مباريات ودية - منتخبات,فلسطين,السعودية,0,0,17:30,01/09/2024
دوري القسم الثاني-أ,وادي دجلة,أسوان,2,0,14:30,01/10/2024
دوري القسم الثاني-أ,بتروجت,حرس الحدود,4,0,14:30,01/10/2024
مباريات ودية - منتخبات,جنوب أفريقيا,ليسوتو,0,0,15:00,01/10/2024
مباريات ودية - منتخبات,السعودية,هونج كونج,2,0,17:30,01/10/2024
مباريات ودية - منتخبات,تونس,كاب فيردي,2,0,19:30,01/10/2024
