Champoin Type,Team A,Team B,Team A Score,Team B Score,Match Time,day
مباريات ودية - منتخبات,مصر,النرويج,29,33,19:00,01/08/2025
مباريات ودية - منتخبات,إسبانيا,الأرجنتين,32,18,21:00,01/08/2025
مباريات ودية - منتخبات,النرويج,رومانيا,37,26,19:00,01/09/2025
مباريات ودية - منتخبات,سلوفاكيا,الأرجنتين,26,30,21:00,01/09/2025
مباريات ودية - منتخبات,الدنمارك,البحرين,33,17,22:00,01/09/2025
مباريات ودية - منتخبات,الدنمارك,البحرين,39,20,18:30,01/10/2025
مباريات ودية - منتخبات,رومانيا,مصر,30,33,19:00,01/10/2025
مباريات ودية - منتخبات,إسبانيا,سلوفاكيا,34,30,21:00,01/10/2025
مباريات ودية - منتخبات,كرواتيا,سلوفينيا,33,25,21:15,01/10/2025
مباريات ودية - منتخبات,بولندا,تونس,33,24,21:30,01/10/2025
مباريات ودية - منتخبات,مصر,سلوفاكيا,39,24,18:00,01/11/2025
الكرة الطائرة,الأهلي,الزمالك,3,2,22:30,03/08/2025
كرة اليد,الأهلي,سبورتنج,26,24,20:30,03/14/2025
تصفيات كأس العالم-أفريقيا,تنزانيا,الكونغو برازافيل,3,0,16:00,03/19/2025
تصفيات كأس العالم-أفريقيا,إيسواتيني,الكاميرون,0,0,18:00,03/19/2025
تصفيات كأس العالم-أفريقيا,ليبيريا,تونس,0,1,18:00,03/19/2025
تصفيات كأس العالم-أفريقيا,أفريقيا الوسطى,مدغشقر,1,4,18:00,03/19/2025
تصفيات كأس العالم-أفريقيا,موزمبيق,أوغندا,3,1,15:00,03/20/2025
تصفيات كأس العالم-أفريقيا,سيراليون,غينيا بيساو,3,1,18:00,03/20/2025
تصفيات كأس العالم-أفريقيا,زيمبابوي,بنين,2,2,18:00,03/20/2025
تصفيات كأس العالم-أفريقيا,كاب فيردي,موريشيوس,1,0,18:00,03/20/2025
تصفيات كأس العالم-أفريقيا,مالاوي,ناميبيا,0,1,18:00,03/20/2025
تصفيات كأس العالم-أفريقيا,ليبيا,أنجـــــولا,1,1,21:00,03/20/2025
تصفيات كأس العالم-أفريقيا,الجابون,سيشيل,3,0,21:00,03/20/2025
تصفيات كأس العالم-أفريقيا,جامبيا,كينيا,3,3,21:00,03/20/2025
تصفيات كأس العالم-أفريقيا,جزر القمر,مالي,0,3,23:00,03/20/2025
تصفيات كأس العالم-آسيا,أستراليا,اندونيسيا,5,1,11:10,03/20/2025
تصفيات كأس العالم-آسيا,اليــــابان,البـــحرين,2,0,12:35,03/20/2025
تصفيات كأس العالم-آسيا,كوريا الجنوبية,عمان,1,1,13:00,03/20/2025
تصفيات كأس العالم-آسيا,أوزبكستان,قيرجيزستان,1,0,18:00,03/20/2025
تصفيات كأس العالم-آسيا,إيران,الإمارات,2,0,18:00,03/20/2025
تصفيات كأس العالم-آسيا,قطر,كوريا الشمالية,5,1,20:15,03/20/2025
تصفيات كأس العالم-آسيا,العراق,الكويت,2,2,20:15,03/20/2025
تصفيات كأس العالم-آسيا,الأردن,فلسطين,3,1,20:15,03/20/2025
تصفيات كأس العالم-آسيا,السعودية,الصين,1,0,20:15,03/20/2025
تصفيات كأس العالم-أفريقيا,بوتسوانا,الجزائر,1,3,15:00,03/21/2025
