Champoin Type,Team A,Team B,Team A Score,Team B Score,Match Time,day
كأس السوبر السعودي,الهلال,الفيصلي,2,2,19:15,01/06/2022
كأس الأمم الأفريقية,الكاميرون,بوركينا فاسو,2,1,18:00,01/09/2022
كأس الأمم الأفريقية,إثيوبيا,كاب فيردي,0,1,21:00,01/09/2022
كأس الأمم الأفريقية,السنغال,زيمبابوي,1,0,15:00,01/10/2022
كأس الأمم الأفريقية,المغرب,غانـــا,1,0,18:00,01/10/2022
كأس الأمم الأفريقية,غينيا,مالاوي,1,0,18:00,01/10/2022
كأس الأمم الأفريقية,جزر القمر,الجابون,0,1,21:00,01/10/2022
كأس الأمم الأفريقية,الجزائر,سيراليون,0,0,15:00,01/11/2022
كأس الأمم الأفريقية,نيجيريا,مصر,1,0,18:00,01/11/2022
كأس الأمم الأفريقية,السودان,غينيا بيساو,0,0,21:00,01/11/2022
كأس السوبر الإسباني,برشلونة,ريال مدريد,2,3,21:00,01/12/2022
كأس السوبر الإيطالي,إنتر ميلان,يوفنتوس,2,1,22:00,01/12/2022
كأس الأمم الأفريقية,تونس,مالي,0,1,15:00,01/12/2022
كأس الأمم الأفريقية,موريتانيا,جامبيا,0,1,18:45,01/12/2022
كأس الأمم الأفريقية,غينيا الاستوائية,كوت ديفوار,0,1,21:00,01/12/2022
كأس السوبر الإسباني,اتلتيكو مدريد,أتلتيك بلباو,1,2,21:00,01/13/2022
كأس الأمم الأفريقية,الكاميرون,إثيوبيا,4,1,18:00,01/13/2022
كأس الأمم الأفريقية,كاب فيردي,بوركينا فاسو,0,1,21:00,01/13/2022
كأس الأمم الأفريقية,السنغال,غينيا,0,0,15:00,01/14/2022
كأس الأمم الأفريقية,المغرب,جزر القمر,2,0,18:00,01/14/2022
كأس الأمم الأفريقية,مالاوي,زيمبابوي,2,1,18:00,01/14/2022
كأس الأمم الأفريقية,الجابون,غانـــا,1,1,21:00,01/14/2022
كأس الأمم الأفريقية,نيجيريا,السودان,3,1,18:00,01/15/2022
كأس الأمم الأفريقية,غينيا بيساو,مصر,0,1,21:00,01/15/2022
كأس السوبر الإسباني,أتلتيك بلباو,ريال مدريد,0,2,20:30,01/16/2022
كأس الأمم الأفريقية,جامبيا,مالي,1,1,15:00,01/16/2022
كأس الأمم الأفريقية,تونس,موريتانيا,4,0,18:00,01/16/2022
كأس الأمم الأفريقية,كوت ديفوار,سيراليون,2,2,18:00,01/16/2022
كأس الأمم الأفريقية,الجزائر,غينيا الاستوائية,0,1,21:00,01/16/2022
كأس الأمم الأفريقية,بوركينا فاسو,إثيوبيا,1,1,18:00,01/17/2022
كأس الأمم الأفريقية,كاب فيردي,الكاميرون,1,1,18:00,01/17/2022
كأس ألمانيا,ميونيخ 1860,كارلشروهر,0,1,19:30,01/18/2022
كأس ألمانيا,كولن,هامبورج,1,1,19:30,01/18/2022
كأس ألمانيا,سانت باولي,بروسيا دورتموند,2,1,21:45,01/18/2022
كأس ألمانيا,بوخوم,ماينز,3,1,21:45,01/18/2022
كأس الأمم الأفريقية,مالاوي,السنغال,0,0,18:00,01/18/2022
كأس الأمم الأفريقية,زيمبابوي,غينيا,2,1,18:00,01/18/2022
كأس الأمم الأفريقية,غانـــا,جزر القمر,2,3,21:00,01/18/2022
كأس الأمم الأفريقية,الجابون,المغرب,2,2,21:00,01/18/2022
كأس ألمانيا,هانوفر96,مونشنجلادباخ,3,0,19:30,01/19/2022
كأس ألمانيا,لايبزيج,هانزا روستوك,2,0,19:30,01/19/2022
كأس ألمانيا,هوفنهايم,فرايبورج,1,4,21:45,01/19/2022
كأس ألمانيا,هيرتا برلين,يونيون برلين,2,3,21:45,01/19/2022
كأس الأمم الأفريقية,مصر,السودان,1,0,21:00,01/19/2022
كأس الأمم الأفريقية,غينيا بيساو,نيجيريا,0,2,21:00,01/19/2022
كأس الأمم الأفريقية,سيراليون,غينيا الاستوائية,0,1,18:00,01/20/2022
كأس الأمم الأفريقية,كوت ديفوار,الجزائر,3,1,18:00,01/20/2022
كأس الأمم الأفريقية,مالي,موريتانيا,2,0,21:00,01/20/2022
كأس الأمم الأفريقية,جامبيا,تونس,1,0,21:00,01/20/2022
كأس الأمم الأفريقية,بوركينا فاسو,الجابون,1,1,18:00,01/23/2022
كأس الأمم الأفريقية,نيجيريا,تونس,0,1,21:00,01/23/2022
كأس الأمم الأفريقية,غينيا,جامبيا,0,1,18:00,01/24/2022
كأس الأمم الأفريقية,الكاميرون,جزر القمر,2,1,21:00,01/24/2022
كأس الأمم الأفريقية,السنغال,كاب فيردي,2,0,18:00,01/25/2022
كأس الأمم الأفريقية,المغرب,مالاوي,2,1,21:00,01/25/2022
كأس الأمم الأفريقية,كوت ديفوار,مصر,0,0,18:00,01/26/2022
كأس الأمم الأفريقية,مالي,غينيا الاستوائية,0,0,21:00,01/26/2022
كأس الأمم الأفريقية,جامبيا,الكاميرون,0,2,18:00,01/29/2022
كأس الأمم الأفريقية,بوركينا فاسو,تونس,1,0,21:00,01/29/2022
كأس الأمم الأفريقية,مصر,المغرب,2,1,17:00,01/30/2022
كأس الأمم الأفريقية,السنغال,غينيا الاستوائية,3,1,21:00,01/30/2022
كأس الأمم الأفريقية,بوركينا فاسو,السنغال,1,3,21:00,02/02/2022
كأس الأمم الأفريقية,الكاميرون,مصر,0,0,21:00,02/03/2022
كأس الأمم الأفريقية,بوركينا فاسو,الكاميرون,3,3,21:00,02/05/2022
كأس الأمم الأفريقية,السنغال,مصر,0,0,21:00,02/06/2022
كأس ألمانيا,يونيون برلين,سانت باولي,2,1,21:45,03/01/2022
كأس ألمانيا,هامبورج,كارلشروهر,2,2,19:30,03/02/2022
كأس ألمانيا,هانوفر96,لايبزيج,0,4,19:30,03/02/2022
كأس ألمانيا,بوخوم,فرايبورج,1,2,21:45,03/02/2022
كأس مصر,المقاولون العرب,المصرية للاتصالات,1,0,18:00,03/10/2022
كأس مصر,إنبي,ديروط,7,1,15:00,03/11/2022
كأس مصر,فاركو,كفر الشيخ‏,1,2,18:00,03/11/2022
كأس مصر,الجونة,بنها,3,1,15:00,03/12/2022
كأس مصر,سيراميكا كليوباترا,الاتحاد السكندري,2,1,18:00,03/12/2022
كأس مصر,الإسماعيلي,بتروجت,0,0,18:00,03/12/2022
كأس مصر,غزل المحلة,ايسترن كومباني,1,1,15:00,03/13/2022
كأس مصر,طلائع الجيش,حلوان العام,3,1,15:00,03/13/2022
كأس مصر,البنك الاهلي,أسوان,1,0,18:00,03/13/2022
كأس مصر,مصر المقاصة,بني عبيد,2,0,15:00,03/14/2022
كأس مصر,سموحة,ألعاب دمنهور‏,3,1,15:00,03/18/2022
مباريات ودية - منتخبات,فرنسا,كوت ديفوار,2,1,22:15,03/25/2022
كأس مصر,مودرن سبورت,منتخب السويس,1,1,18:00,03/26/2022
مباريات ودية - منتخبات,كرواتيا,سلوفينيا,1,1,16:00,03/26/2022
مباريات ودية - منتخبات,أيرلندا,بلجيكا,2,2,19:00,03/26/2022
مباريات ودية - منتخبات,إنجلترا,سويسرا,2,1,19:30,03/26/2022
مباريات ودية - منتخبات,قطر,بلغاريا,2,1,19:30,03/26/2022
مباريات ودية - منتخبات,إسبانيا,ألبانيا,2,1,20:45,03/26/2022
مباريات ودية - منتخبات,هولندا,الدنمارك,4,2,21:45,03/26/2022
كأس مصر,بيراميدز,لافيينا أف سي,1,0,18:00,03/28/2022
مباريات ودية - منتخبات,كرواتيا,بلغاريا,2,1,16:00,03/29/2022
مباريات ودية - منتخبات,بيلاروسيا,البـــحرين,1,0,18:00,03/29/2022
مباريات ودية - منتخبات,الدنمارك,صربيا,3,0,18:00,03/29/2022
مباريات ودية - منتخبات,سويسرا,كوسوفو,1,1,18:00,03/29/2022
مباريات ودية - منتخبات,النرويج,أرمينيا,9,0,19:00,03/29/2022
مباريات ودية - منتخبات,قطر,سلوفينيا,0,0,19:30,03/29/2022
مباريات ودية - منتخبات,تركيا,إيطاليا,2,3,20:45,03/29/2022
مباريات ودية - منتخبات,إنجلترا,كوت ديفوار,3,0,20:45,03/29/2022
مباريات ودية - منتخبات,بلجيكا,بوركينا فاسو,3,0,20:45,03/29/2022
مباريات ودية - منتخبات,هولندا,ألمانيا,1,1,20:45,03/29/2022
مباريات ودية - منتخبات,إسبانيا,أيسلندا,5,0,20:45,03/29/2022
مباريات ودية - منتخبات,ويلز,التشيك,1,1,20:45,03/29/2022
مباريات ودية - منتخبات,فرنسا,جنوب أفريقيا,5,0,21:15,03/29/2022
دوري أبطال آسيا للنخبة,باختاكور,سباهان اصفهان,1,3,19:15,04/07/2022
دوري أبطال آسيا للنخبة,فولاد خازيستان,الغرافة,0,0,19:15,04/07/2022
دوري أبطال آسيا للنخبة,نادي أهال,شباب الأهلي,1,1,22:15,04/07/2022
دوري أبطال آسيا للنخبة,الدحيل,التعاون,1,2,22:15,04/07/2022
دوري أبطال آسيا للنخبة,استقلول دوشنبه,الريان,2,3,19:15,04/08/2022
دوري أبطال آسيا للنخبة,مومباي سيتي,الشباب,0,3,19:15,04/08/2022
دوري أبطال آسيا للنخبة,السد القطري,ناساف كارشي,1,1,19:15,04/08/2022
دوري أبطال آسيا للنخبة,الهلال,الشــارقة,2,1,22:15,04/08/2022
دوري أبطال آسيا للنخبة,الجــزيرة,القوة الجوية,1,2,22:15,04/08/2022
دوري أبطال آسيا للنخبة,الوحدات,الفيصلي,1,1,22:15,04/08/2022
